"id","is_get_time","name","price","secondClassCN","snapshot_time","commit_time"
"134","1767227838","QJB201轻机枪","112473","轻机枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:18+00:00"
"135","1767227860","大型登山包","8890","背包","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:40+00:00"
"136","1767227882","SR25精英护木","48118","护木","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:02+00:00"
"137","1767227939","海神消焰器","36279","枪口","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:59+00:00"
"138","1767227885","影袭托芯枪托","51618","枪托","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:05+00:00"
"139","1767227834","MP7冲锋枪","151225","冲锋枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:14+00:00"
"140","1767227836","M870霰弹枪","5000","霰弹枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:16+00:00"
"141","1767227858","DSA战术胸挂","7377","胸挂","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:38+00:00"
"142","1767227929","战斗红点瞄准镜","20024","瞄具","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:49+00:00"
"143","1767227886","MP5伸缩枪托","15608","枪托","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:06+00:00"
"144","1767227853","射手战术背心 (几乎全新)","42307","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:33+00:00"
"145","1767227854","Hvk快拆防弹衣 (几乎全新)","27768","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:34+00:00"
"146","1767227886","侵掠核心枪托","23332","枪托","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:06+00:00"
"147","1767227850","MK-2战术背心","198566","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:30+00:00"
"148","1767227854","安保防弹衣 (几乎全新)","2035","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:34+00:00"
"149","1767227882","M249导轨护木","21835","护木","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:02+00:00"
"150","1767227931","M250钛金长枪管","51707","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:51+00:00"
"151","1767227933","AK12精英脚架长枪管","57583","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:53+00:00"
"152","1767227939","余烬消音器","51676","枪口","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:59+00:00"
"153","1767227940","实用消音器","17054","枪口","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:39:00+00:00"
"154","1767227853","DT-AVS防弹衣 (几乎全新)","133332","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:33+00:00"
"155","1767227860","HLS-2重型背包","83670","背包","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:40+00:00"
"156","1767227928","6/12神射手变倍狙击镜","44604","瞄具","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:48+00:00"
"157","1767227928","3/7可调倍率狙击镜","95659","瞄具","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:48+00:00"
"158","1767227932","AWM天际线长枪管","51587","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:52+00:00"
"159","1767227933","SCARH海狸长枪管","25579","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:53+00:00"
"160","1767227935","M1014断点枪管","49449","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:55+00:00"
"161","1767227929","侧置战斗红点瞄准镜","22526","瞄具","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:49+00:00"
"162","1767227886","精英轻型枪托","21261","枪托","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:06+00:00"
"163","1767227889","斜角阻手器","24898","前握把","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:09+00:00"
"164","1767227890","AR重塔握把","22248","后握把","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:10+00:00"
"165","1767227890","共振二代一体枪托","74181","枪托","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:10+00:00"
"166","1767227842","H09 防暴头盔","231756","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:22+00:00"
